"","IgA","IgE1","IgE2","IgG","IgM"
"Idh1",0.176030117012458,0.0900147902586374,0.125505793574563,0.0288376081833243,0.0765070787231182
"Pikfyve",0.347904755072347,0.439590969008042,0.333811940347495,0.179058834123585,0.388393277357994
"Map2",0,0,0.0109985901418026,0,0.00494606414004402
"Rpe",0.279356932678029,0.371512470937998,0.316425439522528,0.406471711787133,0.35586266549031
"Kansl1l",0.0802247270891471,0.0284374435663062,0.0064442822226425,0.148578969028088,0.354625201868229
"Gm38162",0.00673786818246151,0.0182514287898737,0.00533888624909142,0,0.00426808960749552
"6820402A03Rik",0,0.00266606435514962,0.00682718134647077,0,0.0363758336816873
"Acadl",1.09147562153814,1.0103742709339,1.2765797114369,0.882353589232787,1.11783467962273
"Lancl1",0.492741971628449,0.43265213093985,0.291338980481248,0.377347778167824,0.28977255356852
"Ikzf2",0,0,0,0,0
"Bard1",0,0,0.00499047292378892,0.020311791663294,0.00488985797817032
"Atic",0.18633482289063,0.352079384285404,0.194753217287914,0.246670169410534,0.391762585833284
"Mreg",0.0428548091195414,0.150447689550707,0.0753381067725861,0.0671185297809196,0.26480270411023
"Gm25360",0.216615737637768,0.28458752472578,0.140780693533306,0.561191538390129,0.299305104024356
"Gm24497",0.0383221561446123,0.0166516548508935,0.0285384117138797,0.0910779362382005,0.0176047600662459
"Gm25939",0.028895977863218,0.0374747718016812,0.0140771778481716,0.0814884526223022,0.0335094275912245
"Pecr",0.551078951481394,0.894772958586007,0.50294128653734,0.815741572350266,0.584059256751121
"Xrcc5",0.183379507784536,0.150404797771698,0.173895480986412,0.144484062226545,0.181904705723124
"Smarcal1",0.140948337274999,0.0661390709574765,0.0783031824876889,0.0941975527275679,0.0224979563934132
"Rpl37a",59.3061184395351,48.3568029588373,111.239569615784,53.2787168269749,81.0896360706256
"Arpc2",8.13082033219111,7.27276572978607,10.4495332765646,8.1611099867416,8.77025198287061
"Aamp",2.65562300132071,2.54592889319187,3.0175920483736,2.32788515734576,2.12994346887241
"Pnkd",1.2325583681829,1.1680030886287,1.34160115476092,1.39982180200565,1.03548042119128
"Tmbim1",0.236943046970169,0.18799769429941,0.144019740684968,0.183076080768317,0.188496487299207
"Slc11a1",0,0,0.00829700841312368,0.0146036407154561,0
"Ctdsp1",0.437120095164208,0.331032232927175,0.330029785128597,0.453709845101025,0.295247568851686
"Usp37",0.0656198983679644,0.0775752623597162,0.0832501913676049,0.0694939539417653,0.0645084402932249
"Cnot9",0.146367522584361,0.201500620869568,0.129801688814597,0.117114686951419,0.148685630828086
"Zfp142",0.0614533009513752,0.106566176482001,0.0766024877680537,0.0527984031097498,0.133872827484159
"Bcs1l",0.209821796549773,0.167718717718,0.195900028693585,0.131209344187398,0.165465660409446
"Rnf25",0.517477785513645,0.451309856901232,0.437353979106168,0.397106092763726,0.494911581262659
"Ttll4",0.0255803941406805,0.0315235884671615,0,0.0889364165350225,0.0364187153909093
"Cyp27a1",0,0,0,0,0.00250124736733548
